DateTime,LCLid,energy_kwh,stdorToU,date,year,month,day,hour,day_of_week,anomaly,anomaly_type
2013-02-13T00:00:00.000+01:00,MAC000034,6.5279999,Std,2013-02-13,2013,2,13,0,Wednesday,true,High Consumption
2014-01-28T00:00:00.000+01:00,MAC000034,6.5100002,Std,2014-01-28,2014,1,28,0,Tuesday,true,High Consumption
2014-01-28T00:00:00.000+01:00,MAC000034,6.5100002,Std,2014-01-28,2014,1,28,0,Tuesday,true,High Consumption
2012-03-06T00:30:00.000+01:00,MAC000034,6.395,Std,2012-03-06,2012,3,6,0,Tuesday,true,High Consumption
2012-02-03T00:30:00.000+01:00,MAC000034,6.381,Std,2012-02-03,2012,2,3,0,Friday,true,High Consumption
2012-02-10T00:30:00.000+01:00,MAC000034,6.375,Std,2012-02-10,2012,2,10,0,Friday,true,High Consumption
2012-02-11T00:30:00.000+01:00,MAC000034,6.368,Std,2012-02-11,2012,2,11,0,Saturday,true,High Consumption
2012-02-04T00:30:00.000+01:00,MAC000034,6.3590002,Std,2012-02-04,2012,2,4,0,Saturday,true,High Consumption
2014-01-21T00:00:00.000+01:00,MAC000034,6.3540001,Std,2014-01-21,2014,1,21,0,Tuesday,true,High Consumption
2012-02-07T00:30:00.000+01:00,MAC000034,6.3509998,Std,2012-02-07,2012,2,7,0,Tuesday,true,High Consumption
2012-02-03T01:00:00.000+01:00,MAC000034,6.3460002,Std,2012-02-03,2012,2,3,1,Friday,true,High Consumption
2014-01-26T00:00:00.000+01:00,MAC000034,6.3400002,Std,2014-01-26,2014,1,26,0,Sunday,true,High Consumption
2012-02-01T00:30:00.000+01:00,MAC000034,6.3379998,Std,2012-02-01,2012,2,1,0,Wednesday,true,High Consumption
2012-02-08T00:30:00.000+01:00,MAC000034,6.3379998,Std,2012-02-08,2012,2,8,0,Wednesday,true,High Consumption
2013-12-31T00:00:00.000+01:00,MAC000034,6.3379998,Std,2013-12-31,2013,12,31,0,Tuesday,true,High Consumption
2012-02-12T00:30:00.000+01:00,MAC000034,6.3330002,Std,2012-02-12,2012,2,12,0,Sunday,true,High Consumption
2012-02-05T00:30:00.000+01:00,MAC000034,6.3309999,Std,2012-02-05,2012,2,5,0,Sunday,true,High Consumption
2012-01-18T00:30:00.000+01:00,MAC000034,6.3280001,Std,2012-01-18,2012,1,18,0,Wednesday,true,High Consumption
2012-02-09T00:30:00.000+01:00,MAC000034,6.3010001,Std,2012-02-09,2012,2,9,0,Thursday,true,High Consumption
2012-01-23T00:30:00.000+01:00,MAC000034,6.3000002,Std,2012-01-23,2012,1,23,0,Monday,true,High Consumption
