DateTime,LCLid,energy_kwh,stdorToU,date,year,month,day,hour,day_of_week
2011-12-06T13:00:00.000+01:00,MAC000016,0.105,Std,2011-12-06,2011,12,6,13,Tuesday
2011-12-06T13:30:00.000+01:00,MAC000016,0.134,Std,2011-12-06,2011,12,6,13,Tuesday
2011-12-06T14:00:00.000+01:00,MAC000016,0.141,Std,2011-12-06,2011,12,6,14,Tuesday
2011-12-06T14:30:00.000+01:00,MAC000016,0.13,Std,2011-12-06,2011,12,6,14,Tuesday
2011-12-06T15:00:00.000+01:00,MAC000016,0.149,Std,2011-12-06,2011,12,6,15,Tuesday
2011-12-06T15:30:00.000+01:00,MAC000016,0.131,Std,2011-12-06,2011,12,6,15,Tuesday
2011-12-06T16:00:00.000+01:00,MAC000016,0.133,Std,2011-12-06,2011,12,6,16,Tuesday
2011-12-06T16:30:00.000+01:00,MAC000016,0.148,Std,2011-12-06,2011,12,6,16,Tuesday
2011-12-06T17:00:00.000+01:00,MAC000016,0.128,Std,2011-12-06,2011,12,6,17,Tuesday
2011-12-06T17:30:00.000+01:00,MAC000016,0.128,Std,2011-12-06,2011,12,6,17,Tuesday
2011-12-06T18:00:00.000+01:00,MAC000016,0.151,Std,2011-12-06,2011,12,6,18,Tuesday
2011-12-06T18:30:00.000+01:00,MAC000016,0.257,Std,2011-12-06,2011,12,6,18,Tuesday
2011-12-06T19:00:00.000+01:00,MAC000016,0.135,Std,2011-12-06,2011,12,6,19,Tuesday
2011-12-06T19:30:00.000+01:00,MAC000016,0.139,Std,2011-12-06,2011,12,6,19,Tuesday
2011-12-06T20:00:00.000+01:00,MAC000016,0.199,Std,2011-12-06,2011,12,6,20,Tuesday
2011-12-06T20:30:00.000+01:00,MAC000016,0.148,Std,2011-12-06,2011,12,6,20,Tuesday
2011-12-06T21:00:00.000+01:00,MAC000016,0.126,Std,2011-12-06,2011,12,6,21,Tuesday
2011-12-06T21:30:00.000+01:00,MAC000016,0.146,Std,2011-12-06,2011,12,6,21,Tuesday
2011-12-06T22:00:00.000+01:00,MAC000016,0.129,Std,2011-12-06,2011,12,6,22,Tuesday
2011-12-06T22:30:00.000+01:00,MAC000016,0.112,Std,2011-12-06,2011,12,6,22,Tuesday
2011-12-06T23:00:00.000+01:00,MAC000016,0.056,Std,2011-12-06,2011,12,6,23,Tuesday
2011-12-06T23:30:00.000+01:00,MAC000016,0.022,Std,2011-12-06,2011,12,6,23,Tuesday
2011-12-07T00:00:00.000+01:00,MAC000016,0.023,Std,2011-12-07,2011,12,7,0,Wednesday
2011-12-07T00:30:00.000+01:00,MAC000016,0.042,Std,2011-12-07,2011,12,7,0,Wednesday
2011-12-07T01:00:00.000+01:00,MAC000016,0.023,Std,2011-12-07,2011,12,7,1,Wednesday
2011-12-07T01:30:00.000+01:00,MAC000016,0.032,Std,2011-12-07,2011,12,7,1,Wednesday
