hour,total_energy_kwh
0,11957.807001000145
1,10867.112998200035
2,9265.132992900075
3,7647.183999500046
4,6347.569002900041
5,5960.343998400009
6,6357.945997500042
7,6374.654000200028
8,7128.278001599979
9,7625.674998100002
10,7930.119998600025
11,8187.321002499996
12,8396.835996500027
13,8496.008998700003
14,8304.037998200001
15,7937.462001100008
16,7989.981999999968
17,8920.294997899959
18,9811.04400019995
19,10203.734002299972
20,10057.298002099975
21,9509.79600109998
22,8589.04199869997
23,7087.548997900043
