LCLid,total_energy_kwh,average_half_hour_kwh,minimum_half_hour_kwh,maximum_half_hour_kwh,stddev_half_hour_kwh,readings
MAC000034,22145.13799520006,0.566821213627174,0.023,6.5279999,1.1409824398957495,39069
MAC000035,18473.795997399895,0.4734078875893677,0.072,3.2179999,0.3821249806135905,39023
MAC000021,18323.178000799922,0.4688873023389099,0.093,2.8080001,0.22875274846818744,39078
MAC000024,16944.262994200013,0.4341788293496647,0.026,5.0250001,0.6224575900274164,39026
MAC000023,11668.202999599993,0.298663944906317,0.029,2.4649999,0.30267281469580276,39068
MAC000032,10452.427996700299,0.2675444864518352,0.0,3.3399999,0.5277482151903993,39068
MAC000022,10216.10899939983,0.2614754933172898,0.016,1.449,0.18178393327198614,39071
MAC000026,10141.90700110005,0.25962284971073235,0.084,2.8559999,0.23819612972257218,39064
MAC000030,9277.965000699938,0.23749462449956327,0.032,4.0939999,0.2979286251981861,39066
MAC000038,9260.395997299987,0.23726961995695475,0.03,2.839,0.25544908223270674,39029
MAC000018,8748.446999699994,0.2238542258309663,0.088,2.0880001,0.17312182195371587,39081
MAC000011,7450.141000499969,0.3142988947224084,0.04,2.582,0.2621846334528805,23704
MAC000027,7292.626000100055,0.18666494317856186,0.022,1.671,0.10737527232879424,39068
MAC000033,6162.761000099966,0.15773639621448593,0.015,1.854,0.1215936019232642,39070
MAC000010,6121.689000299964,0.5509575196021929,0.113,4.1890001,0.4383862373692086,11111
MAC000020,5344.030000399908,0.13675290445774882,0.024,2.0090001,0.1437144340468929,39078
MAC000019,5061.86800049997,0.12955894549526414,0.01,1.641,0.1288981587834222,39070
MAC000025,3879.518000200244,0.09931184723019261,0.0,3.1500001,0.22699117321432366,39064
MAC000013,3259.806000000016,0.1100802350319122,0.023,0.505,0.05647684103177769,29613
MAC000028,3221.822999900063,0.10019040955002217,0.0,1.6569999,0.07245762040608118,32157
MAC000029,2764.475001000266,0.07076965417403337,0.0,2.1029999,0.12053512130355998,39063
MAC000036,2173.041000000016,0.05562486561204157,0.0,0.701,0.06322641300363843,39066
MAC000012,1086.829999799979,0.04405650816003807,0.0,1.345,0.08018758128703025,24669
MAC000039,882.5200012000021,0.19374753045005533,0.043,1.9450001,0.22808046753204397,4555
MAC000016,533.9679999999789,0.027350714541821388,0.0,0.873,0.05254689908743598,19523
MAC000037,65.30300000000005,0.0016716926070038925,0.0,0.992,0.032750067035970006,39064
