year,month,total_energy_kwh
2011,12,6753.839998500012
2012,1,9169.644997500087
2012,2,9662.314997700027
2012,3,7808.794999500036
2012,4,6913.127997899987
2012,5,6011.367999699988
2012,6,4932.990001499964
2012,7,4572.079000199945
2012,8,4546.6069998999465
2012,9,5471.267999599976
2012,10,6517.416001999952
2012,11,8467.843000100042
2012,12,9879.707996699959
2013,1,10420.33899549997
2013,2,9359.536998800066
2013,3,10129.207998500033
2013,4,7655.613001099975
2013,5,5899.933999700021
2013,6,5351.914001100055
2013,7,5248.501000099956
2013,8,5434.994001299964
2013,9,6284.327999600049
2013,10,7065.048000400035
2013,11,8400.492997800098
2013,12,10061.035997500028
2014,1,10126.85300430011
2014,2,8807.428999600093
